ID,Soil_pH,Soil_Moisture_VWC_%,Soil_Temp_C,Rainfall_mm_month,Sunlight_hrs_day,Plant_Age_years,Growth_Rate_cm_month,Annual_Bark_Yield_g_plant,Stress_Classification
358,5.44,32.14,27.46,62.9,6.9,2,4.93,311.39,Optimal
359,5.78,21.77,21.32,205.2,8.6,9,1.5,170.4,High Stress
360,5.15,31.97,28.31,126.1,8.7,14,5.46,453.84,Optimal
361,5.89,28.75,23.71,116.6,8.1,11,4.49,417.3,Near Optimal
362,6.44,30.08,22.67,87.2,6.0,8,2.89,323.96,Mild Stress
363,5.54,30.48,22.13,81.3,8.0,6,3.13,245.96,Slight Deviation
364,5.82,24.17,30.56,105.5,9.7,13,1.51,119.24,Mild Stress
365,5.98,34.54,24.99,141.0,6.4,10,5.57,380.89,Optimal
366,5.38,29.57,31.91,287.4,11.3,7,1.56,213.0,Moderate Stress
367,5.72,29.2,25.29,151.1,6.6,9,6.44,483.55,Optimal
368,5.61,25.0,21.54,189.8,7.6,7,2.65,229.91,Mild Stress
369,5.65,27.33,23.43,202.0,6.3,3,3.88,250.96,Slight Deviation
370,5.17,26.57,30.95,187.2,7.9,6,1.82,115.58,Mild Stress
371,5.61,28.81,26.5,175.7,4.4,11,6.72,549.92,Optimal
372,5.87,37.45,25.25,114.3,6.5,13,3.82,304.39,Slight Deviation
373,6.4,20.44,27.51,259.8,5.5,11,2.84,283.93,Mild Stress
374,6.13,20.04,28.61,279.4,7.7,7,2.83,180.28,Slight Deviation
375,6.78,33.52,30.58,87.5,9.3,2,1.54,100.86,High Stress
376,5.18,29.91,31.64,123.7,8.7,3,1.5,148.75,Moderate Stress
377,6.08,24.91,25.85,164.6,3.2,4,7.55,476.26,Optimal
378,5.7,34.6,22.76,127.0,11.2,10,2.56,220.7,Slight Deviation
379,6.8,23.07,25.68,207.8,8.0,6,2.03,170.17,Moderate Stress
380,5.16,40.15,27.83,139.9,6.1,1,1.5,80.0,Moderate Stress
381,5.14,34.47,23.92,299.1,7.8,9,5.36,340.25,Near Optimal
382,5.27,28.25,23.94,245.5,7.8,5,5.0,365.0,Near Optimal
383,4.43,44.0,28.1,191.7,6.3,13,1.5,179.22,Critical Stress
384,5.31,27.54,26.84,236.5,7.9,12,5.55,453.73,Optimal
385,5.18,34.67,27.1,240.8,6.4,14,4.33,410.94,Optimal
386,5.68,30.96,24.57,149.0,6.8,7,6.38,480.75,Optimal
387,5.79,35.64,26.26,135.1,6.3,9,5.58,350.06,Optimal
388,6.63,34.42,24.04,184.3,4.9,9,2.91,222.18,Mild Stress
389,6.12,28.3,29.85,227.4,7.8,1,2.06,150.42,Mild Stress
390,5.28,26.89,30.31,187.6,8.6,15,2.5,289.36,Slight Deviation
391,5.11,33.47,21.09,93.3,8.4,1,2.11,213.33,Moderate Stress
392,5.87,25.5,24.03,135.8,9.0,3,4.15,241.23,Optimal
393,4.87,41.96,22.21,175.9,8.1,6,1.5,178.89,Severe Stress
394,6.61,27.35,24.92,175.8,6.5,2,2.83,198.83,Mild Stress
395,6.25,25.92,26.73,288.5,9.0,10,5.2,334.59,Near Optimal
396,5.34,31.4,22.36,103.8,5.1,12,1.53,168.63,Mild Stress
397,4.66,25.78,24.05,207.8,5.9,11,1.5,187.19,Moderate Stress
398,6.34,22.62,23.79,261.9,5.8,1,2.13,80.0,Moderate Stress
399,5.54,35.88,27.66,304.9,9.4,1,3.41,140.01,Near Optimal
400,6.28,24.38,27.22,157.8,9.2,13,4.26,297.96,Near Optimal
401,4.72,27.11,24.69,207.0,8.4,5,2.59,204.47,Mild Stress
402,5.27,33.37,27.57,211.3,9.4,4,5.56,348.64,Optimal
403,5.6,35.63,25.25,190.8,5.9,1,3.14,174.7,Near Optimal
404,5.63,33.2,26.13,174.6,8.1,4,7.25,446.5,Optimal
405,5.35,35.43,32.36,204.0,7.3,3,1.5,80.0,Moderate Stress
406,5.94,24.9,31.29,40.7,9.0,2,1.5,90.03,Moderate Stress
407,5.01,24.36,22.84,217.5,7.3,9,3.59,223.69,Slight Deviation
408,5.52,37.45,29.66,186.9,6.8,14,1.5,243.57,Moderate Stress
409,5.67,27.88,29.6,167.8,8.5,15,3.17,369.43,Slight Deviation
410,5.88,27.61,23.33,292.6,9.1,11,3.72,229.79,Slight Deviation
411,5.99,35.17,29.62,142.9,6.3,1,3.01,172.18,Slight Deviation
412,4.98,34.34,31.92,157.8,7.4,7,1.5,131.86,High Stress
413,4.76,34.5,23.41,289.5,5.6,14,1.64,204.29,High Stress
414,6.3,38.43,24.06,134.2,3.0,13,2.61,295.65,Mild Stress
415,5.78,25.94,30.26,149.7,7.9,4,3.89,249.08,Slight Deviation
416,5.19,35.57,27.87,171.9,8.6,5,3.81,265.51,Near Optimal
417,6.45,27.44,28.76,226.2,8.0,10,2.1,310.27,Mild Stress
418,5.66,30.86,28.09,191.4,4.0,5,6.17,406.3,Optimal
419,6.25,35.39,28.25,108.9,6.9,1,2.56,223.42,Slight Deviation
420,5.64,32.12,22.76,150.7,3.5,6,4.73,349.37,Near Optimal
421,6.73,29.0,30.35,146.6,10.0,13,1.5,174.62,High Stress
422,6.57,32.15,30.74,175.8,5.5,9,2.36,188.37,High Stress
423,5.46,28.3,26.27,203.4,9.8,2,3.19,207.15,Near Optimal
424,6.13,23.91,26.86,203.0,9.2,7,4.46,284.17,Optimal
425,5.95,23.43,22.1,82.3,5.9,6,3.08,202.56,Slight Deviation
426,6.35,17.62,28.65,238.5,5.5,5,1.5,115.19,High Stress
427,5.07,41.57,28.83,193.9,8.1,4,1.5,132.27,Moderate Stress
428,5.98,23.04,26.8,256.1,6.0,4,6.47,484.11,Optimal
429,6.18,26.85,30.6,204.4,7.7,6,1.5,121.03,Mild Stress
430,4.63,31.23,25.93,240.6,6.6,4,2.77,214.35,Mild Stress
431,4.95,33.19,28.81,205.7,4.3,5,3.03,164.82,Slight Deviation
432,4.48,37.14,23.74,254.0,3.5,13,1.95,258.11,Critical Stress
433,5.45,34.45,26.92,208.7,7.9,6,5.07,291.94,Optimal
434,5.99,25.61,26.44,174.6,6.5,5,6.56,461.54,Optimal
435,6.43,26.37,27.72,305.0,6.5,7,3.42,258.37,Slight Deviation
436,5.64,30.99,25.82,228.9,8.8,9,7.81,536.38,Optimal
437,6.5,25.76,26.58,211.6,9.6,10,3.5,279.49,Slight Deviation
438,4.84,40.02,29.64,109.8,7.0,7,2.24,144.86,Severe Stress
439,4.66,34.97,25.6,109.1,6.9,7,2.23,146.11,Moderate Stress
440,5.57,33.46,21.86,196.1,8.4,4,1.5,151.28,Moderate Stress
441,5.81,32.38,32.6,188.0,5.1,1,1.5,98.42,Moderate Stress
442,5.58,35.63,31.42,146.2,7.9,14,1.5,191.24,Moderate Stress
443,4.46,34.03,22.86,187.8,8.5,8,1.88,192.32,Severe Stress
444,5.55,23.37,29.21,267.4,8.7,4,2.78,202.35,Slight Deviation
445,4.88,33.86,25.39,218.2,4.0,1,1.65,80.0,Mild Stress
446,5.97,25.33,27.84,117.2,6.1,5,5.93,481.93,Optimal
447,5.8,26.46,27.94,173.9,5.9,14,4.1,383.93,Optimal
448,5.08,34.19,26.25,135.7,7.7,14,4.17,366.65,Optimal
449,5.32,36.73,24.49,158.7,8.4,8,4.66,325.62,Near Optimal
450,5.02,31.55,24.79,157.3,10.2,4,4.89,358.75,Optimal
451,5.57,31.33,24.07,153.7,6.6,13,4.72,359.64,Optimal
452,6.13,36.62,24.34,111.0,6.6,12,3.29,262.89,Slight Deviation
453,5.06,32.52,26.79,173.0,9.6,8,5.28,440.07,Optimal
454,5.88,41.87,24.71,149.2,8.0,8,2.79,232.47,Mild Stress
455,5.31,33.4,29.18,40.0,9.8,3,2.96,174.88,Slight Deviation
456,5.16,22.22,31.76,292.9,8.0,9,1.57,166.4,Moderate Stress
457,5.54,33.65,25.14,239.9,5.4,3,6.92,468.96,Optimal
458,5.03,33.32,27.77,159.3,5.1,1,3.6,245.74,Near Optimal
459,5.3,37.05,28.6,181.0,4.7,2,2.67,210.3,Slight Deviation
460,4.94,35.05,28.51,115.6,8.7,15,1.82,185.47,Mild Stress
461,6.68,25.77,27.24,273.3,9.6,6,3.0,261.22,Mild Stress
462,5.62,23.52,29.38,284.4,10.8,12,2.29,227.13,Mild Stress
463,5.22,29.79,28.54,188.6,9.0,10,3.53,294.92,Near Optimal
464,5.72,25.09,23.04,236.3,9.6,2,2.3,196.33,Mild Stress
465,5.54,26.98,29.78,189.6,6.5,6,4.03,314.4,Near Optimal
466,5.48,33.0,29.84,106.5,5.4,14,2.97,302.49,Slight Deviation
467,5.94,37.03,24.56,157.3,9.0,1,2.19,80.0,Mild Stress
468,6.02,30.41,27.12,187.3,8.3,11,5.22,399.61,Optimal
469,5.31,24.59,29.19,155.0,7.7,13,2.85,247.54,Slight Deviation
470,5.28,32.88,26.33,168.0,8.2,1,2.72,196.09,Near Optimal
471,5.45,36.13,30.43,175.0,8.1,5,2.64,233.08,Mild Stress
472,4.33,30.46,34.56,175.6,9.8,10,1.5,159.43,Critical Stress
473,4.77,31.52,24.48,182.9,9.8,13,1.98,199.45,Moderate Stress
474,6.35,27.52,22.58,121.7,8.5,11,1.59,237.87,Moderate Stress
475,6.5,23.08,27.97,140.6,9.0,9,3.57,265.09,Slight Deviation
476,5.46,33.36,29.31,109.3,8.4,14,3.1,256.19,Slight Deviation
477,5.92,28.14,26.26,233.8,6.7,8,7.78,501.66,Optimal
478,5.77,31.29,31.65,64.2,8.9,3,2.44,150.98,Moderate Stress
479,7.0,21.06,22.72,243.4,5.0,15,1.5,179.85,Critical Stress
480,6.22,25.65,29.22,256.2,9.4,3,2.95,230.59,Mild Stress
481,5.53,33.52,25.06,163.4,5.3,15,4.1,289.07,Optimal
482,5.07,29.43,32.5,40.0,8.0,1,1.5,80.0,Moderate Stress
483,4.72,40.97,33.38,160.1,6.0,14,1.5,200.34,Critical Stress
484,5.71,27.37,24.55,176.5,8.5,3,6.5,421.36,Optimal
485,5.18,32.08,25.24,124.4,7.4,15,3.69,400.61,Near Optimal
486,4.82,36.7,29.75,151.7,4.6,14,1.5,256.08,High Stress
487,5.24,23.69,25.76,264.2,8.3,12,4.29,297.37,Optimal
488,5.01,22.67,26.85,216.6,6.5,12,2.55,182.22,Near Optimal
489,6.53,19.28,27.08,129.1,9.1,12,1.5,186.87,High Stress
490,6.08,34.57,20.86,92.1,7.5,13,1.5,170.44,Moderate Stress
491,5.6,26.94,26.96,162.0,8.2,11,5.29,363.68,Optimal
492,6.41,40.06,24.79,168.3,5.8,1,2.75,173.56,Moderate Stress
493,5.64,26.76,25.42,207.3,6.4,8,7.04,494.47,Optimal
494,5.13,32.03,31.62,150.6,6.7,1,1.5,80.0,Moderate Stress
495,6.44,34.89,22.98,208.1,9.0,5,2.65,177.16,Mild Stress
496,5.9,38.83,29.6,286.4,10.5,9,2.63,203.13,Mild Stress
497,5.03,41.72,26.11,224.9,6.1,7,1.64,140.0,Moderate Stress
498,5.5,36.04,26.1,177.4,9.4,4,5.43,376.75,Near Optimal
499,5.12,36.26,29.53,169.9,3.6,11,2.8,218.27,Mild Stress
500,4.84,34.94,28.09,160.4,5.4,9,3.08,234.38,Slight Deviation
501,6.11,32.06,28.83,244.9,5.8,9,4.06,301.63,Optimal
502,6.65,23.79,30.1,145.5,5.1,2,1.5,105.76,High Stress
503,4.83,27.92,25.94,182.5,4.6,10,4.31,348.26,Near Optimal
504,5.91,28.75,25.04,182.8,8.2,10,8.05,634.48,Optimal
505,5.24,29.93,23.53,152.4,7.1,11,4.06,351.62,Near Optimal
506,5.33,28.24,24.36,104.5,8.2,12,4.28,373.66,Optimal
507,5.27,34.17,36.0,197.8,8.7,6,1.5,128.67,High Stress
508,5.12,35.92,30.98,176.6,8.0,4,1.76,103.3,Mild Stress
509,5.63,30.05,22.68,207.5,8.7,8,4.9,339.51,Near Optimal
510,5.14,38.47,22.77,150.7,7.4,12,1.5,161.14,Moderate Stress
511,5.75,23.54,28.54,247.1,5.4,11,3.89,335.13,Near Optimal
512,5.57,28.82,28.75,131.8,9.4,7,4.5,268.21,Optimal
513,5.47,26.51,28.76,274.2,6.4,7,4.28,333.54,Optimal
514,5.1,21.87,26.18,83.9,5.8,11,3.94,320.3,Slight Deviation
515,5.28,30.25,26.6,203.9,7.2,10,6.84,516.07,Optimal
516,6.02,27.83,28.05,206.1,5.9,9,5.06,350.26,Optimal
517,5.88,36.43,27.27,136.2,6.7,13,4.57,346.65,Near Optimal
518,5.06,34.47,19.9,203.3,8.1,5,1.5,115.77,High Stress
519,5.65,24.43,26.26,250.4,8.1,6,8.12,520.13,Optimal
520,6.01,37.74,24.28,58.1,5.9,1,2.83,206.02,Slight Deviation
521,4.68,38.57,27.56,207.7,6.6,6,1.5,165.89,High Stress
522,5.9,31.71,36.0,42.9,9.4,2,1.5,172.68,High Stress
523,5.24,29.65,28.18,126.9,8.4,6,5.8,378.66,Optimal
524,5.91,23.97,26.0,269.6,11.2,9,7.11,381.44,Optimal
525,5.18,29.1,29.95,148.0,9.6,8,4.01,290.27,Near Optimal
526,4.61,38.11,28.54,115.4,9.6,9,1.94,196.47,High Stress
527,4.7,41.82,28.34,169.1,5.0,13,1.5,219.01,Severe Stress
528,5.63,37.33,28.94,293.7,8.9,15,3.03,312.43,Slight Deviation
529,5.74,26.84,33.58,79.3,7.4,10,1.5,152.63,Moderate Stress
530,5.1,25.6,23.38,122.2,6.5,8,3.38,326.8,Slight Deviation
531,5.95,29.35,28.52,262.4,7.8,3,5.93,343.62,Optimal
532,4.69,23.59,24.04,282.2,9.2,8,2.23,188.19,Moderate Stress
533,5.56,31.44,28.78,174.3,8.4,6,5.55,343.2,Optimal
534,4.93,30.97,24.06,111.9,5.9,13,3.68,325.49,Slight Deviation
535,5.24,28.45,25.66,295.3,8.8,6,5.56,437.22,Optimal
536,5.63,21.64,26.06,267.7,6.4,6,4.24,297.47,Near Optimal
537,5.13,33.68,30.12,217.3,7.9,3,1.57,113.48,Mild Stress
538,5.39,27.67,29.94,135.3,7.0,10,2.85,191.64,Slight Deviation
539,6.15,22.2,23.01,177.3,7.1,1,1.89,111.36,Mild Stress
540,5.28,16.3,27.18,171.2,8.9,12,1.63,234.07,Moderate Stress
541,6.06,28.18,24.73,198.2,5.6,14,5.64,441.64,Optimal
542,4.98,40.42,22.97,259.8,11.0,4,1.5,110.88,Severe Stress
543,5.89,37.14,26.31,228.4,4.2,10,5.77,464.9,Near Optimal
544,6.39,25.04,26.01,120.7,6.4,12,3.92,320.23,Slight Deviation
545,4.24,30.77,34.77,255.7,8.2,6,1.5,183.22,Critical Stress
546,5.16,33.36,28.39,197.2,8.6,11,3.0,223.04,Near Optimal
547,5.92,23.75,22.59,217.8,7.3,12,4.15,368.72,Near Optimal
548,5.49,31.54,25.19,260.7,7.4,10,6.57,531.82,Optimal
549,5.8,32.93,30.27,118.9,8.2,2,1.5,141.27,Mild Stress
550,5.27,36.82,33.68,178.0,7.1,7,1.5,80.65,High Stress
551,5.65,29.05,21.92,150.8,10.0,7,5.19,345.06,Slight Deviation
552,5.51,28.95,20.98,93.8,9.0,11,2.28,216.33,Moderate Stress
553,6.24,23.39,32.99,199.1,9.1,4,1.5,157.35,High Stress
554,5.74,25.15,28.25,318.1,5.8,4,5.65,324.39,Optimal
555,5.79,28.0,24.22,78.8,7.4,15,4.84,374.74,Optimal
556,5.37,32.23,28.71,178.2,7.0,1,2.98,130.62,Near Optimal
557,5.33,35.08,18.57,215.2,5.7,13,1.5,165.1,High Stress
558,5.36,26.4,27.01,186.8,8.1,2,4.74,256.59,Optimal
559,5.82,36.5,28.05,173.8,6.5,9,4.8,415.93,Near Optimal
560,5.37,29.03,29.96,108.5,8.7,10,2.9,231.34,Slight Deviation
561,5.76,29.11,23.76,192.8,5.6,8,5.1,394.18,Near Optimal
562,6.74,22.54,27.27,138.4,10.6,8,2.29,202.03,Moderate Stress
563,6.08,16.14,24.04,59.6,5.9,9,2.29,209.54,Moderate Stress
564,5.42,34.66,27.82,245.7,7.9,15,3.83,329.1,Near Optimal
565,6.26,31.4,24.13,232.7,8.9,7,5.12,390.15,Near Optimal
566,5.38,28.95,25.69,182.8,6.5,13,5.95,466.4,Optimal
567,4.48,33.39,23.81,192.6,9.0,9,2.3,213.39,Severe Stress
568,5.05,33.93,29.08,239.1,5.3,10,3.81,287.83,Slight Deviation
569,4.57,24.98,29.75,192.3,10.1,12,1.5,170.96,High Stress
570,5.41,27.62,26.25,229.7,7.5,2,3.46,244.21,Near Optimal
571,5.61,33.64,27.12,163.6,6.4,6,6.05,419.05,Optimal
572,6.52,20.67,22.36,252.2,7.0,15,2.3,262.32,Severe Stress
573,5.78,30.63,26.04,197.6,9.0,3,7.55,450.61,Optimal
574,5.48,23.28,26.84,190.7,6.4,11,5.77,502.24,Optimal
575,6.06,30.65,35.39,110.1,6.2,15,1.5,193.21,High Stress
576,4.38,33.18,23.44,195.8,7.1,6,1.73,150.74,Severe Stress
577,5.73,21.23,31.69,134.2,5.4,3,1.57,111.65,High Stress
578,6.02,34.26,30.19,144.9,10.8,8,1.89,245.81,Mild Stress
579,4.79,28.46,27.9,135.2,6.5,15,2.9,283.82,Mild Stress
580,6.23,23.76,32.63,121.4,9.0,11,1.5,164.62,High Stress
581,5.79,30.13,28.19,296.9,7.9,15,4.81,412.74,Optimal
582,5.37,36.13,28.25,253.2,5.7,13,4.14,328.13,Near Optimal
583,5.95,23.57,26.83,285.6,7.5,4,4.99,335.31,Optimal
584,6.85,26.26,30.92,112.7,8.9,12,1.5,269.01,Severe Stress
585,5.7,31.54,30.51,183.9,7.2,10,1.78,197.29,Mild Stress
586,5.74,32.75,25.0,108.9,9.6,6,7.55,510.21,Optimal
587,5.35,31.33,22.78,141.7,9.3,15,3.01,275.47,Slight Deviation
588,5.13,29.27,26.35,129.5,9.2,9,5.12,439.02,Optimal
589,6.06,24.18,24.44,248.2,6.7,2,2.17,214.07,Slight Deviation
590,5.13,31.54,26.8,158.2,5.6,2,2.97,224.04,Near Optimal
591,5.64,24.22,30.96,238.8,6.4,7,1.5,168.88,Mild Stress
592,5.34,15.87,25.54,213.2,7.9,15,1.77,217.98,Moderate Stress
593,5.86,31.1,26.86,306.7,8.5,2,4.88,322.5,Optimal
594,5.78,33.68,27.19,98.6,3.6,2,3.78,213.57,Near Optimal
595,6.17,16.18,29.71,249.3,7.5,4,1.5,82.59,High Stress
596,5.32,25.49,19.81,243.1,7.8,9,1.5,109.94,High Stress
597,5.45,33.25,25.06,126.5,7.0,8,6.56,471.97,Optimal
598,5.06,41.61,27.68,235.4,9.8,2,2.61,124.36,Mild Stress
599,5.36,30.52,30.84,198.5,8.3,8,2.59,201.91,Slight Deviation
600,5.81,25.43,25.43,167.5,9.9,4,6.77,436.06,Optimal
601,6.02,27.53,21.0,134.7,7.1,2,1.7,152.84,Moderate Stress
602,5.09,38.1,28.98,140.4,9.2,11,2.11,194.36,Mild Stress
603,6.08,25.03,24.97,292.7,10.4,10,5.56,452.56,Optimal
604,6.35,23.45,23.19,180.0,9.9,7,3.9,322.87,Mild Stress
605,5.83,26.6,25.0,223.0,5.5,6,5.66,350.1,Optimal
606,6.63,21.84,26.41,136.5,7.0,14,2.85,322.3,Moderate Stress
607,5.17,31.6,25.06,137.1,6.9,10,5.59,405.47,Optimal
608,4.92,39.86,19.94,239.5,8.4,5,1.5,112.54,Critical Stress
609,4.62,34.26,29.87,105.8,8.7,11,1.5,168.22,High Stress
610,6.42,25.98,31.08,157.2,6.0,1,1.5,97.88,High Stress
611,5.96,27.16,29.08,181.9,7.6,2,2.52,152.67,Slight Deviation
612,5.57,21.97,23.36,186.1,3.9,8,3.53,246.41,Mild Stress
613,5.75,33.67,26.36,170.1,10.1,1,3.75,206.71,Near Optimal
614,4.98,31.17,26.98,201.8,6.6,3,3.55,241.86,Slight Deviation
615,6.95,24.75,28.92,218.1,7.6,2,1.5,100.38,High Stress
616,5.67,45.46,29.14,220.4,6.9,5,1.5,148.46,Severe Stress
617,5.66,31.01,24.65,125.8,9.6,4,6.89,447.23,Optimal
618,6.0,24.74,27.26,164.4,3.0,13,5.95,463.7,Optimal
619,5.86,26.79,28.46,245.7,7.5,7,4.79,364.15,Optimal
620,5.72,35.08,31.66,229.2,7.3,5,1.5,179.66,Moderate Stress
621,5.17,31.56,29.25,104.5,6.7,8,3.06,298.67,Slight Deviation
622,5.86,21.73,29.52,199.3,10.6,4,2.9,252.91,Mild Stress
623,6.64,31.18,27.27,71.2,5.9,15,3.23,344.27,Mild Stress
624,6.34,24.14,31.51,182.6,8.9,12,1.5,258.99,High Stress
625,6.48,36.43,28.31,284.4,8.1,6,3.37,265.52,Mild Stress
626,5.32,35.94,24.24,127.9,9.8,4,5.38,366.19,Optimal
627,5.06,29.08,31.49,134.1,6.3,2,1.5,184.54,Moderate Stress
628,5.53,36.32,29.23,222.0,6.2,1,3.37,114.79,Mild Stress
629,5.63,29.95,25.58,95.1,9.5,14,6.08,469.31,Optimal
630,6.2,32.16,25.47,145.2,8.3,14,5.09,461.24,Optimal
631,4.67,34.91,27.95,212.8,4.7,1,2.19,173.71,Moderate Stress
632,6.44,22.95,28.48,145.1,6.5,8,3.12,341.0,Slight Deviation
633,5.51,26.75,27.63,167.0,8.2,14,3.8,343.76,Near Optimal
634,5.37,35.54,28.0,220.9,9.0,4,4.83,306.72,Optimal
635,5.04,29.71,32.44,203.2,6.3,5,1.5,118.38,Moderate Stress
636,4.69,30.41,30.43,194.7,3.0,11,1.5,189.13,High Stress
637,6.05,23.57,27.61,161.3,8.4,8,5.31,439.36,Optimal
638,5.64,31.7,30.01,200.4,5.3,12,3.04,335.59,Slight Deviation
639,4.89,42.14,23.7,173.2,3.9,15,2.1,244.04,Severe Stress
640,4.89,26.49,28.27,205.2,3.0,7,2.81,233.46,Slight Deviation
641,5.42,30.36,32.79,152.7,9.0,13,1.5,172.59,Moderate Stress
642,6.52,34.0,26.3,170.0,7.7,8,4.12,293.45,Slight Deviation
643,5.46,29.72,24.29,125.6,7.1,13,6.32,519.82,Optimal
644,4.77,34.45,24.91,178.1,10.0,8,4.88,412.88,Slight Deviation
645,5.46,24.81,23.51,135.4,8.6,6,5.51,354.2,Near Optimal
646,5.45,32.29,24.49,118.7,10.4,10,6.49,477.9,Optimal
647,4.2,32.96,25.81,194.2,5.0,2,2.1,133.49,High Stress
648,5.57,34.72,22.5,191.7,7.4,6,3.95,315.24,Slight Deviation
649,5.47,36.03,27.05,223.1,4.6,14,4.28,355.2,Near Optimal
650,5.98,41.51,29.89,156.3,7.1,1,1.5,80.0,High Stress
651,6.62,29.54,24.1,202.4,7.1,1,2.36,184.73,Moderate Stress
652,6.22,29.47,31.86,210.3,8.6,11,1.5,167.38,High Stress
653,5.45,31.12,28.63,204.5,7.6,3,4.34,277.42,Optimal
654,4.99,29.76,30.3,134.6,8.6,3,1.5,129.25,Moderate Stress
655,7.0,27.19,24.89,188.2,8.8,11,1.5,190.35,High Stress
656,5.63,28.13,29.73,200.0,11.4,13,3.43,325.76,Slight Deviation
657,5.61,30.51,23.51,180.4,6.9,5,5.86,334.56,Near Optimal
658,5.59,36.32,29.85,65.2,5.8,1,1.82,136.67,Moderate Stress
659,5.71,24.34,27.55,188.8,7.9,10,5.17,323.38,Optimal
660,5.52,35.64,28.77,301.7,6.1,6,5.29,392.33,Optimal
661,5.28,37.25,23.24,160.2,10.2,7,2.78,261.94,Mild Stress
662,5.3,30.01,24.14,140.0,7.0,10,6.33,411.9,Optimal
663,5.58,19.15,28.91,200.5,6.5,12,2.73,271.3,Slight Deviation
664,5.3,27.56,23.97,197.2,6.7,13,5.2,453.0,Near Optimal
665,5.21,37.35,28.48,245.6,8.8,11,2.69,233.68,Slight Deviation
666,5.66,29.41,22.63,110.8,7.2,3,4.15,296.58,Near Optimal
667,5.46,25.12,29.71,220.2,6.3,4,3.23,128.31,Slight Deviation
668,6.43,24.69,23.06,212.5,10.5,10,2.47,266.64,Moderate Stress
669,4.2,38.1,28.77,172.2,6.0,11,1.5,179.05,Severe Stress
670,6.2,30.63,29.0,198.6,7.6,10,4.86,362.58,Optimal
671,6.29,26.44,24.77,236.6,8.7,14,3.42,351.64,Slight Deviation
672,4.46,31.29,28.86,228.0,4.6,12,1.5,246.53,High Stress
673,5.41,28.31,27.83,117.1,8.4,15,4.51,407.6,Optimal
674,5.4,25.69,25.28,225.1,5.6,10,6.14,504.7,Optimal
675,4.83,40.09,23.77,176.4,9.0,14,1.55,150.64,Severe Stress
676,5.17,29.38,20.72,184.0,5.8,10,1.95,220.31,Moderate Stress
677,4.99,37.62,28.12,184.0,8.7,10,3.01,255.98,Mild Stress
678,6.56,34.43,21.99,171.7,9.5,3,1.87,108.61,Severe Stress
679,6.11,33.16,27.31,245.5,9.1,1,3.67,160.7,Near Optimal
680,6.3,25.44,26.16,175.4,8.0,8,5.21,398.01,Near Optimal
681,6.0,30.52,29.17,118.4,7.1,13,4.01,375.24,Near Optimal
682,4.98,31.44,26.03,158.4,6.5,10,4.83,416.77,Near Optimal
683,5.31,26.05,25.95,189.8,10.1,10,7.13,548.98,Optimal
684,5.87,30.51,29.34,247.6,6.2,2,4.04,231.39,Near Optimal
685,4.93,25.81,28.07,213.2,5.6,1,2.49,202.57,Mild Stress
686,5.99,34.47,28.01,133.2,8.7,14,4.54,433.27,Optimal
687,5.47,27.77,28.5,316.7,6.1,8,5.51,385.5,Optimal
688,5.39,31.34,22.09,194.6,5.8,7,2.54,209.39,Slight Deviation
689,5.99,29.95,29.42,250.1,4.9,7,4.02,264.5,Near Optimal
690,5.84,27.69,28.96,171.7,6.6,4,4.2,335.83,Optimal
691,5.4,33.23,23.75,209.3,7.4,11,4.68,315.89,Near Optimal
692,6.24,25.41,26.22,226.2,7.9,9,4.9,384.72,Near Optimal
693,5.01,35.83,26.87,247.0,9.2,6,3.96,264.71,Near Optimal
694,5.94,21.95,26.57,238.2,8.4,2,1.93,93.03,Mild Stress
695,5.93,29.34,28.07,228.0,7.2,14,4.22,299.58,Optimal
696,5.43,39.9,31.58,162.7,7.1,1,1.5,90.46,High Stress
697,5.78,24.16,30.46,148.6,8.4,1,1.5,80.0,Mild Stress
698,4.91,28.38,22.8,198.3,9.8,9,3.33,273.77,Mild Stress
699,6.11,30.74,28.99,231.3,7.7,4,3.61,310.53,Near Optimal
700,5.5,30.9,31.25,167.8,6.7,5,2.1,172.98,Moderate Stress
701,5.31,32.32,28.24,238.6,5.7,3,4.57,368.1,Optimal
702,6.18,30.41,30.49,259.9,4.9,4,2.51,148.22,Slight Deviation
703,5.21,34.04,33.44,129.6,8.7,12,1.5,141.17,Moderate Stress
704,4.83,37.56,30.28,134.0,8.5,8,1.5,118.05,High Stress
705,4.74,34.33,27.8,172.3,8.5,13,1.85,212.72,Moderate Stress
706,5.93,27.5,30.34,196.9,7.3,4,3.25,322.3,Slight Deviation
707,4.9,35.16,27.46,151.1,10.0,9,3.81,242.43,Slight Deviation
708,6.57,36.29,27.08,254.4,6.6,9,2.43,239.49,High Stress
709,4.45,32.49,25.88,203.3,9.2,6,1.96,141.1,High Stress
710,6.53,22.04,32.0,182.2,7.4,2,1.5,98.17,Severe Stress
711,5.72,34.88,24.38,101.0,6.4,12,5.53,383.77,Optimal
712,5.55,29.25,31.9,107.6,8.6,10,2.05,233.77,Moderate Stress
713,5.3,19.74,28.6,195.5,8.2,11,1.5,176.46,Mild Stress
714,5.82,33.28,22.52,62.7,8.1,7,4.33,353.86,Near Optimal
715,5.58,27.08,28.18,235.7,7.6,9,5.11,384.73,Optimal
716,6.21,27.42,20.28,171.3,7.4,6,1.5,80.0,High Stress
717,5.66,31.18,29.0,358.4,11.8,3,4.76,347.98,Optimal
